Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Al Fajr Al Badaiya Six Hotel Services Company,شركة الفجر البديع ستة للخدمات الفندقيه,Makkah,10001413,3-Star,Active,20179
luluat altawhid wahid Hotel Hotel,فندق لؤلؤة التوحيد واحد الفندقية,Makkah,10002027,Unclassified/Other,Active,301096
burj alsaif,فندق برج السيف الفندقية,Makkah,10002099,1-Star,Active,219235
Abdul Rahman Al Qurashi Hotel,فندق عبدالرحمن بن عطيه بن خضر القرشى الفندقية,Makkah,10002238,Unclassified/Other,Active,290895
slsabil Hamudah 2 Hotel,فندق سلسبيل حموده اثنين الفندقية,Makkah,10001876,Unclassified/Other,Active,222729
Arej Al Falah Hotel,فندق أريج الفلاح الفندقية,Makkah,10002142,Unclassified/Other,Active,220423
ALBALAD ALTAYEB AJYAD HOTEL,فندق البلد الطيب اجياد الفندقية,Makkah,10001185,2-Star,Active,223563
ALKIRAM HOTEL,فندق الكرام الفندقية,Makkah,10002104,2-Star,Active,232022
Infinity Hotel,فندق أنفينتي,Makkah,10001422,5-Star,Active,218022
TAIBA FRONT HOTEL,شركة واجهة طيبة الفندقية,Madinah,10001622,3-Star,Active,241464
AL Jaad Mahbass,فندق الجاد المحبس الفندقية وقف الشيخ امين عمر جاد يرحمه الله,Makkah,10001248,3-Star,Active,230520
BADER AL HADETH HOTEL,فندق بدر الحديث الفندقية,Makkah,10002163,Unclassified/Other,Active,290035
Manazel Al Taqwa Hotel,فندق منازل التقوى الفندقية,Madinah,10002289,1-Star,Active,258716
Kanooz AlDiyafa Company,شركة كنوز الضيافه,Makkah,10002248,1-Star,Active,241144
shaqaq al'ansar bilus For serviced apartments,شقق الأنصار بلس للشقق المخدومة,Madinah,10002214,2-Star,Active,258737
SEDRAT AL EHSAN HOTEL,سدرة الإحسان ,Makkah,10004540,2-Star,Active,223558
Manazil Alaswaf Hotel,فندق منازل الاسواف,Madinah,10002242,1-Star,Active,227826
MADEN HOTEL,شركة مادن للخدمات الفندقية,Madinah,10001387,4-Star,Active,235796
Hilton Jabal Omar Hilton,فندق جبل عمر هيلتون,Makkah,10001038,5-Star,Active,219527
ZAMZAM PULLMAN AMDINA HOTEL,فندق زمزم بولمان المدينة,Madinah,10001808,Unclassified/Other,Active,235841
Zahra Al Saad Khamsa Hotel Hotel Establishment,مؤسسة فندق زهرة السعد خمسة الفندقية,Makkah,10001088,1-Star,Active,294256
nokhba alkhir hotel,فندق نخبة الخير للايواء السياحي,Makkah,10001922,1-Star,Active,230662
Violet Hotel TWO,فندق فيوليت اثنين الفندقية,Makkah,10001702,1-Star,Active,223434
Alolayan alkhalil hotel,شركة سليمان بن موسى العليان الفندقية شخص واحد,Makkah,10001838,1-Star,Active,219838
Eidah ahmed abdullah althibiti hotel,فندق عيضه بن احمد بن عبدالله الثبيتي الفندقية,Makkah,10002028,1-Star,Active,255116
Manazel Al Marjan Hotel Madinah Hotel,شركة منازل المرجان المدينة للخدمات الفندقية,Madinah,10010730,1-Star,Active,257082
Three Points Hotel Company,شركة نقاط ثلاثة الرضا الفندقية,Madinah,10002022,Unclassified/Other,Active,287498
Dallah Taibah Hotel,شركة دله للفنادق والمنتجعات السياحيه فندق دلة طيبة,Madinah,10001873,4-Star,Active,226985
jawharat al misfalah hotel,فندق جوهرة المسفلة الفندقية,Makkah,10002519,1-Star,Active,220603
zharat muna hotel,فندق زهرة منى الفندقية,Makkah,10002084,1-Star,Active,217977
Diamond Immigration Hotel,فندق الهجرة الماسي الفندقية,Makkah,10002537,1-Star,Active,220772
Al Rawda Makkah Hotel,فندق الروضة المكية فرع شركة الروضة المكية,Makkah,10001921,1-Star,Active,211561
Zahrat Al saad Hotel,فندق زهرة السعد الفندقية,Makkah,10001438,Unclassified/Other,Active,244335
0,فندق الرحابه المكيه الفندقية,Makkah,10001721,1-Star,Active,244320
Dar Al Tawhid Intercontinental Hotel,فندق دار التوحيد انتركونتننتال الفندقية,Makkah,10002130,5-Star,Active,218056
Narsyan Taiba Apartments for Residential Units,شقق نرسيان طيبة للوحدات السكنية,Madinah,10001874,2-Star,Active,255016
borj alkhir hoel,شركة برج الخير للخدمات الفندقيه,Makkah,10001928,1-Star,Active,239213
Baraa Taiba Hotel,فندق براء طيبة الفندقية,Madinah,10002145,Unclassified/Other,Active,289256
LULLUAT ALTAWHEED 2 HOTEL,فندق لؤلؤة التوحيد,Makkah,10002020,1-Star,Active,290138
Millennium Taiba Company,شركة ميلينيوم طيبة,Madinah,10000792,4-Star,Active,249216
Snood Al Azma Hotel,فندق سنود العظمة الفندقية,Makkah,10001955,2-Star,Active,258916
Zahrat Al Saad Three Hotel,فندق زهرة السعد ثلاثة الفندقية,Makkah,10001336,Unclassified/Other,Active,290155
Qasser alazhar hotel,فندق قصر الازهر الفندقية,Makkah,10001527,1-Star,Active,218011
hootel algale,فندق ضيف الله مسلم الحربي الفندقية,Makkah,10002581,Unclassified/Other,Active,221455
Nawara Shams Hotel 2,مؤسسة فندق نوارة شمس الفندقية,Makkah,10002573,1-Star,Active,288678
Al Jawhara Tower Hotel Company is a one person com,شركة برج الجوهرة الفندقية شركة شخص واحد,Makkah,10001911,2-Star,Active,8972
DAR BONYAN HOTEL,فندق دار بنيان ,Makkah,10002563,1-Star,Active,243060
HOTEL RAWABI ZAMZAM,فندق روابي زمزم شركة الأندلس لصيانةوإدارةوتشغيل الفنادق والقصورالسكنية,Makkah,10002572,Unclassified/Other,Active,259318
Al Masa Private Limited Company,شركة الماسة الخاصة المحدودة,Makkah,10002588,3-Star,Active,90941
ABDELHAFEZ ABDULLA ALHUMAIDAN HOTEL,فندق عبدالحافظ بن عبدالله بن سليمان آل حميدان الفندقية,Makkah,10002111,1-Star,Active,239295
Le Meridien Makkah Hotel,فندق مريديان مكة فرع الشركة المتحدة للإستثمار والتطوير العقاري المتحد,Makkah,10000533,3-Star,Active,220290
AZKA ALSAFA HOTEL,فندق ازكى الصفا,Makkah,10001950,3-Star,Active,18263
Green Oasis Hotel Company,شركة الواحة الخضراء الفندقية شركة شخص واحد,Madinah,10000617,1-Star,Active,256417
Nibras AlHuda Travel and Tourism Company,شركة نبراس الهدي للسفر و السياحة,Makkah,10001971,Unclassified/Other,Active,223526
Bussan Hotel,فندق بيسان الفندقية,Makkah,10002332,1-Star,Active,254602
Parkinn,فندق بارك إن,Makkah,10000559,Unclassified/Other,Active,31526
