Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Bayt Salsabeel For Hotel Services Company,شركة بيت سلسبيل للخدمات الفندقيه,Madinah,10011868,1-Star,Active,295015
Al Hijaz Al Mubaraka Establishment,مؤسسة الحجاز المباركة,Madinah,10012309,1-Star,Active,301655
Raed Wan Hostel,نزل رائد وان,Madinah,10013092,Unclassified/Other,Active,302655
P C MADINA Company,شركة بي سي مادينا,Madinah,10012976,Unclassified/Other,Active,301875
AL FAYROZ SHATTA HOTEL,فندق الفيروز شطة,Madinah,10002451,Code 10,Active,235743
Al Fayrouz Shatta Hotel Company,شركة فندق الفيروز شطة الفندقية,Madinah,10002451,Unclassified/Other,Active,301555
waqar almadinah Company,شركة وقار المدينة,Madinah,10012441,1-Star,Active,299341
AlSafir AlSakani Establishment For tourist lodges,مؤسسة السفير السكني للنزل السياحيه,Madinah,10012884,Unclassified/Other,Active,301238
safa barak Hostel For tourist lodges,نزل صفا بارك للنزل السياحيه,Madinah,10012880,Unclassified/Other,Active,301175
Nidaa Tayba AlMasi Hostel For tourist lodges,نزل نداء طيبة الماسي للنزل السياحيه,Madinah,10012329,Unclassified/Other,Active,300232
nujum alkhayrat alfadiah Hostel For tourist lodges,نزل نجوم الخيرات الفضيه للنزل السياحيه,Madinah,10011693,Unclassified/Other,Active,293716
Abraj Shahd Hostel Services Company,شركة ابراج شهد للخدمات الفندقية,Madinah,10010920,Unclassified/Other,Active,287617
NOZOL BATOOL FADE,نزل البتول الفضي للضيافة السياحي,Madinah,10012189,Unclassified/Other,Active,302035
AlAmana AlTaawuniya Company For Trading,شركة الأمانة التعاونية للتجارة,Madinah,10011688,Unclassified/Other,Active,292675
Alhayat Alalami Hotel Company,شركة الحياة العالمي الفندقية,Madinah,10010902,1-Star,Active,275162
hayat bark almadina Establishment,مؤسسة حياة بارك المدينة,Madinah,10012184,1-Star,Active,297695
anis albarakah Hostel,نزل انيس البركة,Madinah,10011625,Unclassified/Other,Active,292296
Turbal Thari Company Hotel shakhs wahid,شركة تربل ثري الفندقية شخص واحد,Madinah,10012247,1-Star,Active,296695
New Al-Samman Hotel,فندق السمان الجديد الفندقية,Madinah,10011155,Unclassified/Other,Active,289935
RAGHAD FAHAD ALMAJNONI Hostel,نزل رغد فهد المجنوني,Madinah,10011616,Unclassified/Other,Active,292315
alAman alArabiyya Hotel,شركة الأمان العربية للخدمات الفندقيه,Madinah,10012183,1-Star,Active,299496
TRIPLE ONE HOTEL,فندق تريبل ون الفندقية,Madinah,10011771,1-Star,Active,294599
Rua Grand Hotel,فندق رؤى جراند,Madinah,10010898,1-Star,Active,271915
KAYAN ALMASY  HOTEL,فندق كيان الماسي الفندقية,Madinah,10002577,Unclassified/Other,Active,274959
madinat safwat alaalam Company,شركة مدينة صفوة العالم,Madinah,10011733,Unclassified/Other,Active,292955
Aaliyah Juhaynah Hostel For tourist lodges,نزل عالية جهينة للنزل السياحيه,Madinah,10012150,Unclassified/Other,Active,295995
Durat alkhaleej alfidhi Hotel Hotel,فندق درة الخليج الفضي الفندقية,Madinah,10012025,1-Star,Active,300234
aalam alnojoom Company Hotel,شركة عالم النجوم الفندقية,Madinah,10011376,1-Star,Active,292335
Hostel For tourist lodges,نزل عيسى كريم سرحان الرشيدي للنزل السياحيه,Madinah,10012148,Unclassified/Other,Active,298595
Ruz AlFidhi Hotel Hotel,فندق روز الفضي الفندقية,Madinah,10012143,1-Star,Active,295935
Mehad Al MAdina Plus Hotel,فندق مهاد المدينة بلس الفندقية,Madinah,10011822,1-Star,Active,293255
Diyar Ajwa Tapestry by Hilton Company,شركة ديار عجوة تابستري باي هيلتون,Madinah,10011709,Unclassified/Other,Active,293195
Company Ltd. shakhs wahid,شركة وقار العالمي المحدودة شخص واحد,Madinah,10011708,1-Star,Active,293891
Company AFAMIA ELITE,شركة أفاميا إليت,Madinah,10012128,Unclassified/Other,Active,294997
Naseem Alsharia Hotel Hotel Establishment,مؤسسة فندق نسيم الشريعه الفندقية,Madinah,10011821,1-Star,Active,293196
Bosphorus Hotel Tow,فندق البسفور اثنان,Madinah,10006042,Unclassified/Other,Active,235038
eesa hotel,نزل عيسى كريم سرحان الرشيدي للنزل السياحيه,Madinah,10012226,1-Star,Active,299744
alkiram alfidi Hostel,نزل الكرام الفضي,Madinah,10011938,Unclassified/Other,Active,293935
alasdiqa almasiat litashghil alfanadiq,شركة الأصدقاء الماسية لتشغيل الفنادق شخص واحد,Madinah,10010858,1-Star,Active,288215
